filename,label
Bird-drop\Bird (1).jpeg,Bird-drop
Bird-drop\Bird (10).jpg,Bird-drop
Bird-drop\Bird (100).jpg,Bird-drop
Bird-drop\Bird (101).jpg,Bird-drop
Bird-drop\Bird (102).jpg,Bird-drop
Bird-drop\Bird (103).jpg,Bird-drop
Bird-drop\Bird (104).jpg,Bird-drop
Bird-drop\Bird (105).jpg,Bird-drop
Bird-drop\Bird (106).jpg,Bird-drop
Bird-drop\Bird (107).jpg,Bird-drop
Bird-drop\Bird (108).jpg,Bird-drop
Bird-drop\Bird (109).jpg,Bird-drop
Bird-drop\Bird (11).jpg,Bird-drop
Bird-drop\Bird (110).jpg,Bird-drop
Bird-drop\Bird (111).jpg,Bird-drop
Bird-drop\Bird (112).jpg,Bird-drop
Bird-drop\Bird (113).jpg,Bird-drop
Bird-drop\Bird (114).jpg,Bird-drop
Bird-drop\Bird (115).jpg,Bird-drop
Bird-drop\Bird (116).jpg,Bird-drop
Bird-drop\Bird (117).jpg,Bird-drop
Bird-drop\Bird (118).jpg,Bird-drop
Bird-drop\Bird (119).jpg,Bird-drop
Bird-drop\Bird (12).jpg,Bird-drop
Bird-drop\Bird (120).jpg,Bird-drop
Bird-drop\Bird (121).jpg,Bird-drop
Bird-drop\Bird (122).jpg,Bird-drop
Bird-drop\Bird (123).jpg,Bird-drop
Bird-drop\Bird (124).jpg,Bird-drop
Bird-drop\Bird (125).jpg,Bird-drop
Bird-drop\Bird (126).jpg,Bird-drop
Bird-drop\Bird (127).jpg,Bird-drop
Bird-drop\Bird (128).jpg,Bird-drop
Bird-drop\Bird (129).jpg,Bird-drop
Bird-drop\Bird (13).jpg,Bird-drop
Bird-drop\Bird (130).jpg,Bird-drop
Bird-drop\Bird (131).jpg,Bird-drop
Bird-drop\Bird (132).jpg,Bird-drop
Bird-drop\Bird (133).jpg,Bird-drop
Bird-drop\Bird (134).JPG,Bird-drop
Bird-drop\Bird (135).jpg,Bird-drop
Bird-drop\Bird (136).JPG,Bird-drop
Bird-drop\Bird (137).JPG,Bird-drop
Bird-drop\Bird (138).JPG,Bird-drop
Bird-drop\Bird (139).jpg,Bird-drop
Bird-drop\Bird (14).JPG,Bird-drop
Bird-drop\Bird (140).jpg,Bird-drop
Bird-drop\Bird (141).jpg,Bird-drop
Bird-drop\Bird (142).jpg,Bird-drop
Bird-drop\Bird (143).jpg,Bird-drop
Bird-drop\Bird (144).jpg,Bird-drop
Bird-drop\Bird (145).jpg,Bird-drop
Bird-drop\Bird (146).jpg,Bird-drop
Bird-drop\Bird (147).jpg,Bird-drop
Bird-drop\Bird (148).jpg,Bird-drop
Bird-drop\Bird (149).jpg,Bird-drop
Bird-drop\Bird (15).JPG,Bird-drop
Bird-drop\Bird (150).jpg,Bird-drop
Bird-drop\Bird (159).jpg,Bird-drop
Bird-drop\Bird (16).JPG,Bird-drop
Bird-drop\Bird (160).jpg,Bird-drop
Bird-drop\Bird (161).jpg,Bird-drop
Bird-drop\Bird (162).jpg,Bird-drop
Bird-drop\Bird (163).jpg,Bird-drop
Bird-drop\Bird (164).jpg,Bird-drop
Bird-drop\Bird (165).jpg,Bird-drop
Bird-drop\Bird (166).jpg,Bird-drop
Bird-drop\Bird (167).JPG,Bird-drop
Bird-drop\Bird (168).jpg,Bird-drop
Bird-drop\Bird (169).jpg,Bird-drop
Bird-drop\Bird (17).jpg,Bird-drop
Bird-drop\Bird (170).JPG,Bird-drop
Bird-drop\Bird (171).JPG,Bird-drop
Bird-drop\Bird (172).jpg,Bird-drop
Bird-drop\Bird (173).jpg,Bird-drop
Bird-drop\Bird (174).jpg,Bird-drop
Bird-drop\Bird (175).jpg,Bird-drop
Bird-drop\Bird (176).jpg,Bird-drop
Bird-drop\Bird (177).jpg,Bird-drop
Bird-drop\Bird (178).jpg,Bird-drop
Bird-drop\Bird (179).JPG,Bird-drop
Bird-drop\Bird (18).jpg,Bird-drop
Bird-drop\Bird (180).jpg,Bird-drop
Bird-drop\Bird (181).jpg,Bird-drop
Bird-drop\Bird (182).jpg,Bird-drop
Bird-drop\Bird (183).jpg,Bird-drop
